Name	PrecentFrequency	ApproximateNumber	Rank
SERRANO	0.018	44,766	646
MARKS	0.018	44,766	647
HICKMAN	0.018	44,766	648
ENGLISH	0.018	44,766	649
SWEENEY	0.018	44,766	650
STRONG	0.018	44,766	651
PRINCE	0.018	44,766	652
MCCLURE	0.018	44,766	653
CONWAY	0.018	44,766	654
WALTER	0.018	44,766	655
ROTH	0.018	44,766	656
MAYNARD	0.018	44,766	657
FARRELL	0.018	44,766	658
LOWERY	0.018	44,766	659
HURST	0.018	44,766	660
NIXON	0.018	44,766	661
WEISS	0.018	44,766	662
TRUJILLO	0.018	44,766	663
ELLISON	0.018	44,766	664
SLOAN	0.018	44,766	665
JUAREZ	0.018	44,766	666
WINTERS	0.018	44,766	667
MCLEAN	0.018	44,766	668
RANDOLPH	0.018	44,766	669
LEON	0.018	44,766	670
BOYER	0.018	44,766	671
VILLARREAL	0.018	44,766	672
MCCALL	0.018	44,766	673
GENTRY	0.018	44,766	674
CARRILLO	0.017	42,279	675
KENT	0.017	42,279	676
AYERS	0.017	42,279	677
LARA	0.017	42,279	678
SHANNON	0.017	42,279	679
SEXTON	0.017	42,279	680
PACE	0.017	42,279	681
HULL	0.017	42,279	682
LEBLANC	0.017	42,279	683
BROWNING	0.017	42,279	684
VELASQUEZ	0.017	42,279	685
LEACH	0.017	42,279	686
CHANG	0.017	42,279	687
HOUSE	0.017	42,279	688
SELLERS	0.017	42,279	689
HERRING	0.017	42,279	690
NOBLE	0.017	42,279	691
FOLEY	0.017	42,279	692
BARTLETT	0.017	42,279	693
MERCADO	0.017	42,279	694
LANDRY	0.017	42,279	695
DURHAM	0.017	42,279	696
WALLS	0.017	42,279	697
BARR	0.017	42,279	698
MCKEE	0.017	42,279	699
BAUER	0.017	42,279	700
RIVERS	0.017	42,279	701
EVERETT	0.017	42,279	702
BRADSHAW	0.017	42,279	703
PUGH	0.017	42,279	704
VELEZ	0.017	42,279	705
RUSH	0.017	42,279	706
ESTES	0.017	42,279	707
DODSON	0.017	42,279	708
MORSE	0.017	42,279	709
SHEPPARD	0.017	42,279	710
WEEKS	0.017	42,279	711
CAMACHO	0.017	42,279	712
BEAN	0.017	42,279	713
BARRON	0.017	42,279	714
LIVINGSTON	0.017	42,279	715
MIDDLETON	0.016	39,792	716
SPEARS	0.016	39,792	717
BRANCH	0.016	39,792	718
BLEVINS	0.016	39,792	719
CHEN	0.016	39,792	720
KERR	0.016	39,792	721
MCCONNELL	0.016	39,792	722
HATFIELD	0.016	39,792	723
HARDING	0.016	39,792	724
ASHLEY	0.016	39,792	725
SOLIS	0.016	39,792	726
HERMAN	0.016	39,792	727
FROST	0.016	39,792	728
GILES	0.016	39,792	729
BLACKBURN	0.016	39,792	730
WILLIAM	0.016	39,792	731
PENNINGTON	0.016	39,792	732
WOODWARD	0.016	39,792	733
FINLEY	0.016	39,792	734
MCINTOSH	0.016	39,792	735
KOCH	0.016	39,792	736
BEST	0.016	39,792	737
SOLOMON	0.016	39,792	738
MCCULLOUGH	0.016	39,792	739
DUDLEY	0.016	39,792	740
NOLAN	0.016	39,792	741
BLANCHARD	0.016	39,792	742
RIVAS	0.016	39,792	743
BRENNAN	0.016	39,792	744
MEJIA	0.016	39,792	745
KANE	0.016	39,792	746
BENTON	0.016	39,792	747
JOYCE	0.016	39,792	748
BUCKLEY	0.016	39,792	749
HALEY	0.016	39,792	750
VALENTINE	0.016	39,792	751
MADDOX	0.016	39,792	752
RUSSO	0.016	39,792	753
MCKNIGHT	0.016	39,792	754
BUCK	0.016	39,792	755
MOON	0.016	39,792	756
MCMILLAN	0.016	39,792	757
CROSBY	0.016	39,792	758
BERG	0.016	39,792	759
DOTSON	0.016	39,792	760
MAYS	0.016	39,792	761
ROACH	0.016	39,792	762
CHURCH	0.016	39,792	763
CHAN	0.016	39,792	764
RICHMOND	0.016	39,792	765
MEADOWS	0.016	39,792	766
FAULKNER	0.016	39,792	767
ONEILL	0.016	39,792	768
KNAPP	0.016	39,792	769
KLINE	0.015	37,305	770
BARRY	0.015	37,305	771
OCHOA	0.015	37,305	772
JACOBSON	0.015	37,305	773
GAY	0.015	37,305	774
AVERY	0.015	37,305	775
HENDRICKS	0.015	37,305	776
HORNE	0.015	37,305	777
SHEPARD	0.015	37,305	778
HEBERT	0.015	37,305	779
CHERRY	0.015	37,305	780
CARDENAS	0.015	37,305	781
MCINTYRE	0.015	37,305	782
WHITNEY	0.015	37,305	783
WALLER	0.015	37,305	784
HOLMAN	0.015	37,305	785
DONALDSON	0.015	37,305	786
CANTU	0.015	37,305	787
TERRELL	0.015	37,305	788
MORIN	0.015	37,305	789
GILLESPIE	0.015	37,305	790
FUENTES	0.015	37,305	791
TILLMAN	0.015	37,305	792
SANFORD	0.015	37,305	793
BENTLEY	0.015	37,305	794
PECK	0.015	37,305	795
KEY	0.015	37,305	796
SALAS	0.015	37,305	797
ROLLINS	0.015	37,305	798
GAMBLE	0.015	37,305	799
DICKSON	0.015	37,305	800
BATTLE	0.015	37,305	801
SANTANA	0.015	37,305	802
CABRERA	0.015	37,305	803
CERVANTES	0.015	37,305	804
HOWE	0.015	37,305	805
HINTON	0.015	37,305	806
HURLEY	0.015	37,305	807
SPENCE	0.015	37,305	808
ZAMORA	0.015	37,305	809
YANG	0.015	37,305	810
MCNEIL	0.015	37,305	811
SUAREZ	0.015	37,305	812
CASE	0.015	37,305	813
PETTY	0.015	37,305	814
GOULD	0.015	37,305	815
MCFARLAND	0.015	37,305	816
SAMPSON	0.015	37,305	817
CARVER	0.015	37,305	818
BRAY	0.015	37,305	819
ROSARIO	0.015	37,305	820
MACDONALD	0.015	37,305	821
STOUT	0.015	37,305	822
HESTER	0.015	37,305	823
MELENDEZ	0.015	37,305	824
DILLON	0.015	37,305	825
FARLEY	0.015	37,305	826
HOPPER	0.015	37,305	827
GALLOWAY	0.015	37,305	828
POTTS	0.015	37,305	829
BERNARD	0.015	37,305	830
JOYNER	0.014	34,818	831
STEIN	0.014	34,818	832
AGUIRRE	0.014	34,818	833
OSBORN	0.014	34,818	834
MERCER	0.014	34,818	835
BENDER	0.014	34,818	836
FRANCO	0.014	34,818	837
ROWLAND	0.014	34,818	838
SYKES	0.014	34,818	839
BENJAMIN	0.014	34,818	840
TRAVIS	0.014	34,818	841
PICKETT	0.014	34,818	842
CRANE	0.014	34,818	843
SEARS	0.014	34,818	844
MAYO	0.014	34,818	845
DUNLAP	0.014	34,818	846
HAYDEN	0.014	34,818	847
WILDER	0.014	34,818	848
MCKAY	0.014	34,818	849
COFFEY	0.014	34,818	850
MCCARTY	0.014	34,818	851
EWING	0.014	34,818	852
COOLEY	0.014	34,818	853
VAUGHAN	0.014	34,818	854
BONNER	0.014	34,818	855
COTTON	0.014	34,818	856
HOLDER	0.014	34,818	857
STARK	0.014	34,818	858
FERRELL	0.014	34,818	859
CANTRELL	0.014	34,818	860
FULTON	0.014	34,818	861
LYNN	0.014	34,818	862
LOTT	0.014	34,818	863
CALDERON	0.014	34,818	864
ROSA	0.014	34,818	865
